"Date","Price","Open","High","Low","Change %"
"Jun 14, 2018","0.01600","0.01600","0.01610","0.01590","0.00%"
"Jun 13, 2018","0.01600","0.01590","0.01600","0.01580","0.63%"
"Jun 12, 2018","0.01590","0.01590","0.01600","0.01580","0.00%"
"Jun 11, 2018","0.01590","0.01600","0.01610","0.01590","-0.60%"
"Jun 10, 2018","0.01600","0.01600","0.01600","0.01600","-0.33%"
"Jun 08, 2018","0.01605","0.01605","0.01615","0.01595","0.31%"
"Jun 07, 2018","0.01600","0.01620","0.01620","0.01600","-1.23%"
"Jun 06, 2018","0.01620","0.01610","0.01620","0.01610","0.62%"
"Jun 05, 2018","0.01610","0.01610","0.01620","0.01600","0.00%"
"Jun 04, 2018","0.01610","0.01610","0.01620","0.01610","0.14%"
"Jun 03, 2018","0.01608","0.01608","0.01608","0.01608","-0.14%"
"Jun 01, 2018","0.01610","0.01600","0.01610","0.01600","0.62%"
"May 31, 2018","0.01600","0.01610","0.01610","0.01600","-0.62%"
"May 30, 2018","0.01610","0.01590","0.01610","0.01590","1.26%"
"May 29, 2018","0.01590","0.01600","0.01610","0.01590","-0.93%"
"May 28, 2018","0.01605","0.01615","0.01615","0.01605","-0.05%"
"May 27, 2018","0.01606","0.01606","0.01606","0.01606","-0.26%"
